"studentID";"class";"age";"gender";"migration.bg";"marks.german.num";"marks.math.num";"marks.french.num";"marks.french.math.num";"likes.school.num";"sport.hours";"hr.spent.TV.num";"hr.spent.friends.num";"hr.spent.reading.num";"agree.be.successful.num";"aggree.earn.alot.num";"true.parents.interested.num";"agree.respect.elderly.num"
"1067";"14gE";17;"male";0;4.5;4.5;4.5;4.5;"yes";7;6;6;1;2;3;3;4
"1615";"14gE";18;"male";0;5;3;3;3;"yes";8;3;8;6;4;3;4;4
"1486";"15gF";16;"female";0;5;5;5;5;"yes";3;5;7;3;3;3;4;4
"2022";"14gE";17;"male";0;5;4;4;4;"yes";1;8;8;4;3;3;4;3
"1828";"14gE";18;"female";0;4.5;4;4;4;"no";1;6;10;2;3;3;4;4
"2026";"14gE";19;"female";1;4.5;4;4;4;"no";3;2;6;4;2;2;3;4
"1113";"14gE";18;"female";0;4.5;4;4;4;"no";1;5;5;8;2;2;4;4
"2103";"14gD";18;"male";1;4;4.5;4.5;4.5;"yes";8;3;2;6;2;2;3;3
"2109";"14gD";18;"female";0;5;4;4;4;"yes";5;4;10;3;2;2;4;4
"1111";"14gD";17;"male";0;4.5;4;4;4;"yes";3;5;6;3;3;3;3;3
"1103";"14gD";18;"female";1;5;3;3;3;"yes";3;4;6;6;4;3;3;4
"1061";"14gE";18;"male";0;4.5;3.5;3.5;3.5;"yes";3;9;7;1;3;3;4;3
"2683";"16gB";17;"male";0;5.5;5;5;5;"yes";6;3;10;1;4;3;4;4
"1982";"14gE";18;"male";1;5;4;4;4;"no";5;4;10;4;4;4;4;4
"2028";"14gD";18;"male";0;4.5;5.5;5.5;5.5;"yes";4;3;4;2;4;3;4;4
"2107";"14gD";18;"female";0;5;4;4;4;"yes";2;7;2;4;2;3;4;4
"1627";"14gD";19;"female";0;4.5;4.5;4.5;4.5;"yes";4;1;5;7;1;2;4;4
"1605";"14gF";17;"female";0;4.5;4;4;4;"yes";6;4;10;6;3;3;4;4
"1079";"14gF";18;"female";1;4;6;6;6;"yes";7;3;6;3;3;3;1;4
"1065";"14gD";18;"male";0;4.5;4.5;4.5;4.5;"yes";2;3;7;2;4;3;3;3
"1073";"14gF";18;"female";0;4;3.5;3.5;3.5;"yes";4;3;10;3;3;3;3;4
"1599";"14gF";17;"male";0;5;5;5;5;"no";2;9;7;8;3;3;4;4
"1591";"14gC";18;"female";0;5;5;5;5;"yes";1.5;1;6;6;2;1;4;4
"1801";"14gE";17;"female";0;4.5;4.5;4.5;4.5;"yes";3;2;4;6;1;2;4;4
"1133";"14gC";21;"female";0;3.5;4.5;4.5;4.5;"yes";8;1;4;8;2;3;4;4
"1607";"14wA";17;"female";1;4.5;5;5;5;"yes";4;6;3;5;4;3;4;4
"1826";"14gD";18;"female";0;4.5;4.5;4.5;4.5;"yes";1;6;7;5;2;2;4;4
"1418";"15gE";17;"female";0;4.5;5.5;5.5;5.5;"yes";3;4;5;10;3;3;3;4
"1406";"14gH";18;"female";0;4.5;5.5;5.5;5.5;"yes";5;1;5;3;3;2;4;4
"1436";"14gG";17;"male";0;4.5;4.5;4.5;4.5;"yes";3;3;4;2;3;4;4;4
"1713";"14gG";18;"male";0;5;5;5;5;"yes";3;1;5;2;3;3;4;3
"1894";"15gC";17;"male";0;4.5;3;3;3;"no";6;8;7;1;3;4;4;4
"1783";"14gA";18;"female";0;5;5;5;5;"yes";4;8;7;3;4;3;3;4
"1791";"14gA";18;"male";0;4.5;4;4;4;"yes";6;3;6;2;4;4;4;4
"1920";"15gF";17;"female";0;4.5;4;4;4;"yes";3;1;4;1;2;2;4;4
"1087";"14gC";17;"female";1;4.5;5.5;5.5;5.5;"yes";2;6;7;5;3;3;4;3
"1994";"14gB";18;"male";0;5;5;5;5;"yes";2;8;5;2;4;4;4;4
"1117";"14gA";18;"male";0;4.5;4.5;4.5;4.5;"yes";7;2;6;4;4;3;4;4
"1125";"14gA";18;"male";0;5;2;2;2;"yes";2;3;10;3;3;2;2;3
"1601";"14gB";17;"male";0;5;5;5;5;"yes";3;3;4;4;3;3;4;4
"1123";"14gD";18;"female";1;5;4;4;4;"yes";2;6;9;8;3;3;4;4
"1326";"14wB";19;"female";0;5.5;4;4;4;"no";3;4;10;3;2;NA;4;4
"2178";"14gH";18;"male";0;5;5.5;5.5;5.5;"yes";1;1;8;3;4;3;3;4
"2200";"15gC";17;"male";0;5.5;6;6;6;"yes";6;5;2;2;4;4;4;4
"1422";"14gE";18;"female";0;5.5;4;4;4;"yes";3;6;9;6;4;3;3;4
"1063";"15gE";18;"female";1;5;3;3;3;"no";8;4;2;3;3;3;4;4
"1099";"14gB";18;"male";0;4.5;5.5;5.5;5.5;"yes";7;10;9;4;4;4;3;3
"2000";"14gA";17;"male";0;5;5.5;5.5;5.5;"yes";7;6;4;9;NA;2;4;4
"2238";"15wB";17;"male";1;5;5;5;5;"yes";2;4;5;1;3;4;3;3
"1795";"14gA";18;"male";1;5;4.5;4.5;4.5;"yes";2;8;5;3;4;4;4;4
"1978";"14gA";18;"female";0;4.5;3.5;3.5;3.5;"yes";3;4;6;2;3;2;4;4
"1109";"15gC";18;"male";0;5.5;4.5;4.5;4.5;"yes";2;1;7;4;3;3;4;4
"1745";"14gC";19;"male";0;5.5;4.5;4.5;4.5;"no";0;10;9;3;1;1;1;3
"1268";"14gC";19;"female";0;5.5;3.5;3.5;3.5;"yes";10;2;3;2;3;3;4;4
"1631";"14gB";18;"female";0;5;6;6;6;"yes";9;2;4;3;3;3;4;4
"2121";"14gB";17;"male";0;4;3;3;3;"yes";2;3;7;8;4;4;4;4
"1952";"15wA";18;"female";0;4.5;4;4;4;"yes";3;2;5;3;3;3;3;4
"1214";"15wB";17;"female";1;5;5;5;5;"yes";11;7;5;3;4;4;3;4
"1334";"15wB";17;"female";0;4.5;4.5;4.5;4.5;"yes";6;8;9;4;4;3;4;4
"2879";"17qB";15;"female";0;4.5;4.5;4.5;4.5;"yes";3;3;1;1;4;4;4;4
"1224";"16gA";16;"female";0;5;4;4;4;"yes";1;4;9;2;2;2;3;4
"1655";"16gF";NA;NA;NA;4.5;5;5;5;"no";5;5;4;1;NA;NA;NA;NA
"2550";"16gF";16;"female";0;4.5;6;6;6;"yes";1;4;1;2;3;4;4;4
"2603";"16gG";15;"female";1;5;2.5;2.5;2.5;"yes";7;4;10;7;4;4;2;4
"2641";"16gG";16;"female";1;5;2;2;2;"no";6;1;6;9;4;3;2;4
"1216";"16gA";17;"female";0;5.5;4.5;4.5;4.5;"yes";2;9;4;9;4;3;4;3
"1452";"16gB";16;"female";1;5.5;5.5;5.5;5.5;"yes";2;9;5;1;4;4;3;4
"2697";"16gE";16;"male";1;4.5;3.5;3.5;3.5;"yes";5;3;2;1;4;3;3;4
"2228";"17qA";16;"female";0;4.5;4;4;4;"yes";1;10;5;5;3;3;2;3
"1252";"16gC";16;"male";0;5;2.5;2.5;2.5;"no";3;1;3;2;3;3;1;4
"2907";"17qA";15;"female";1;4.5;3.5;3.5;3.5;"yes";1;7;4;3;1;2;3;4
"1222";"16gF";16;"female";0;5;5;5;5;"yes";3;4;5;4;2;3;4;4
"2639";"17qA";16;"female";0;5;4.5;4.5;4.5;"yes";5;2;4;1;4;4;4;3
"2955";"16gA";NA;NA;NA;NA;NA;NA;NA;"no";0;1;10;1;NA;NA;NA;NA
"2595";"16gA";16;"female";0;4.5;3.5;3.5;3.5;"yes";2;4;6;6;3;3;3;4
"2646";"16gG";16;"female";1;5;5.5;5.5;5.5;"yes";1;7;2;3;1;1;4;3
"1236";"16gA";15;"female";1;4.5;3.5;3.5;3.5;"yes";2;5;6;3;3;3;3;4
"2727";"16gC";16;"female";1;5.5;5.5;5.5;5.5;"yes";3;3;5;6;3;2;3;3
"1157";"14gB";20;"female";0;4.5;3.5;3.5;3.5;"no";6;6;4;6;3;4;4;3
"2032";"14gF";18;"female";0;5.5;6;6;6;"yes";8;4;10;5;4;2;3;4
"1629";"14gC";17;"female";1;5;4.5;4.5;4.5;"yes";6;2;6;4;3;3;4;3
"2158";"14wA";17;"male";0;5;NA;NA;NA;"yes";12;1;5;4;4;3;4;4
"2125";"14wA";18;"male";1;4.5;5.5;5.5;5.5;"no";2;10;10;1;2;3;4;3
"1107";"14wB";18;"female";1;5.5;5;5;5;"yes";7;5;10;2;4;3;3;4
"2164";"14wA";18;"male";0;4.5;4;4;4;"yes";2;3;5;5;4;2;4;4
"2186";"14wB";18;"female";1;4;4;4;4;"no";3;9;10;2;3;3;4;4
"2174";"14wB";18;"male";0;NA;NA;NA;NA;"no";15;2;10;2;4;2;4;3
"1880";"15gC";17;"female";0;5;5.5;5.5;5.5;"yes";2;4;3;3;3;2;3;4
"1854";"15gC";16;"female";0;4.5;5.5;5.5;5.5;"no";1;8;4;2;2;2;4;4
"1480";"15gF";17;"female";1;5.5;6;6;6;"yes";1;5;4;4;3;1;4;4
"1858";"15gC";18;"female";0;5;4;4;4;"yes";5;1;1;5;3;2;4;4
"1378";"15gG";16;"male";0;5;5.5;5.5;5.5;"yes";7;1;10;7;4;4;3;4
"1964";"15gG";NA;"female";1;4.5;3;3;3;"yes";4;6;10;4;4;4;3;4
"1204";"15wA";17;"female";0;5;4.5;4.5;4.5;"yes";5;10;1;7;4;4;4;3
"1478";"15gF";18;"female";0;5.5;4.5;4.5;4.5;"yes";1;2;3;5;3;2;4;4
"1476";"15gC";16;"female";0;5;5.5;5.5;5.5;"no";1;2;1;1;4;4;4;NA
"1412";"15gB";19;"male";0;4;4;4;4;"yes";10;1;10;1;1;1;4;4
"2220";"16gD";17;"male";0;4.5;3.5;3.5;3.5;"yes";7;3;6;3;4;3;4;4
"1916";"15gD";17;"male";0;4.5;5.5;5.5;5.5;"yes";1;4;3;1;3;3;3;4
"1416";"15gB";17;"female";0;4;5;5;5;"yes";1;9;9;4;3;3;3;4
"2119";"14gB";18;"male";0;4;3;3;3;"no";10;7;6;3;4;4;4;4
"1643";"15gB";18;"female";1;4.5;5.5;5.5;5.5;"yes";4;10;10;4;3;3;2;4
"1884";"15gC";18;"male";1;4.5;4.5;4.5;4.5;"yes";4;3;5;1;3;3;4;3
"1846";"15gG";17;"female";1;5;4;4;4;"yes";1;1;5;3;3;2;3;3
"1474";"15gG";16;"male";0;4.5;4.5;4.5;4.5;"yes";2;1;6;3;3;3;4;4
"1495";"15gA";17;"female";1;4;3.5;3.5;3.5;NA;3;5;10;1;3;3;4;3
"1424";"15gA";18;"female";0;5;2.5;2.5;2.5;"yes";1;3;5;1;4;3;4;4
"1892";"15gA";17;"male";0;4.5;3.5;3.5;3.5;"yes";8;8;4;2;4;4;4;3
"1382";"15gF";17;"female";0;5;2.5;2.5;2.5;"yes";4;10;6;5;4;3;4;3
"1376";"15gG";17;"female";1;4.5;3.5;3.5;3.5;"yes";2;4;5;6;3;3;4;4
"2194";"15gG";15;"female";0;4.5;3;3;3;"yes";5.5;6;8;3;4;4;4;3
"1482";"15gG";16;"female";0;5;5.5;5.5;5.5;"yes";1;4;3;2;NA;3;4;4
"1346";"15wB";17;"female";0;5;5;5;5;"yes";NA;7;9;1;4;3;4;4
"1374";"15gF";17;"female";0;5;5.5;5.5;5.5;"yes";10;6;10;1;3;3;3;3
"1898";"15gD";17;"male";0;4;3.5;3.5;3.5;"no";6;6;10;3;3;2;4;4
"1842";"15gE";17;"male";0;5;4;4;4;"yes";2;3;9;5;3;3;4;4
"1876";"15gF";16;"male";0;5;5.5;5.5;5.5;"yes";5;1;6;4;3;3;4;4
"1683";"15gE";17;"male";0;4.5;3.5;3.5;3.5;"yes";3;1;4;7;3;4;4;3
"1950";"15gD";17;"male";1;NA;NA;NA;NA;NA;3;3;5;3;4;3;3;4
"1681";"15gE";16;"male";0;4.5;5;5;5;"no";0;1;6;1;3;3;4;3
"1886";"15gD";16;"female";1;5;3;3;3;"yes";3;7;8;4;3;3;4;NA
"2206";"15gD";17;"female";0;4.5;3.5;3.5;3.5;"yes";2;1;5;2;3;3;4;4
"1613";"14gF";17;"female";0;5;4;4;4;"yes";2;5;9;2;2;2;4;4
"1990";"14gF";17;"female";0;5;5.5;5.5;5.5;"yes";2;5;6;4;3;3;4;4
"1619";"14gF";17;"female";0;4.5;5;5;5;"yes";1.5;4;NA;1;2;1;3;3
"3046";"15gF";19;"male";1;5.5;3.5;3.5;3.5;"no";3;3;6;4;3;2;4;4
"1836";"15gD";18;"male";0;5;4.5;4.5;4.5;"yes";6;3;6;4;4;4;4;3
"3039";"16gE";17;"female";1;4;2.5;NA;2.5;"no";NA;2;1;1;4;4;4;1
"1410";"15gD";18;"female";0;5;5.5;5.5;5.5;"yes";6;1;6;4;3;1;4;3
"1625";"14gH";18;"female";0;5;3.5;3.5;3.5;"yes";7;7;6;3;4;4;4;4
"1444";"14gH";18;"male";0;5;3.5;3.5;3.5;"yes";1;1;10;7;3;3;4;3
"1811";"14gH";18;"male";0;5;3.5;3.5;3.5;"yes";1;1;7;3;3;3;4;4
"1408";"15gA";17;"female";0;4.5;4.5;4.5;4.5;"no";1;7;3;1;4;4;2;4
"1470";"15gA";16;"female";0;4.5;5;5;5;"yes";3;5;5;4;3;3;3;3
"3020";"15gA";17;"female";0;4.5;4.5;4.5;4.5;"no";1;3;4;3;4;4;4;3
"1844";"15gD";17;"female";0;4.5;5;5;5;"yes";3;2;5;2;2;1;4;4
"2192";"15gB";17;"female";0;4;5;5;5;"yes";5;2;4;3;4;2;4;4
"1360";"15gB";17;"male";0;4;5;5;5;"yes";4;7;9;1;4;4;3;4
"1862";"15gF";17;"female";0;4.5;5;5;5;"yes";10;5;5;3;3;2;4;4
"1693";"15gB";17;"female";1;4;4;4;4;"yes";2;4;6;2;2;1;4;4
"1813";"14gG";18;"female";0;5.5;4;4;4;"yes";2;6;10;4;3;3;2;2
"1870";"16gA";17;"female";1;4.5;4;4;4;NA;1;10;NA;6;3;4;4;4
"1448";"15gE";18;"female";0;5;5;5;5;"yes";4;1;6;2;4;4;4;4
"1641";"14gE";NA;NA;NA;5.5;4;4;4;"no";6;8;9;4;NA;NA;NA;NA
"1364";"15gA";17;"female";0;4;4;4;4;"yes";1;6;8;4;3;3;4;4
"1805";"14gG";18;"female";0;5.5;4;4;4;"yes";10;8;3;2;4;3;4;4
"1807";"14gG";17;"male";0;4.5;5;5;5;"yes";6.5;4;3;3;3;2;4;4
"1986";"14gG";17;"female";1;5.5;6;6;6;"yes";5;4;4;3;4;3;4;3
"1992";"14gG";18;"male";1;4.5;5;5;5;"yes";2;3;1;2;4;4;4;4
"1998";"14gB";19;"male";1;4.5;4.5;4.5;4.5;"yes";7;4;5;3;4;2;4;4
"2105";"14gA";19;"female";1;3.5;4;4;4;"yes";2;1;3;4;2;3;3;NA
"1089";"14gG";17;"male";0;4.5;3.5;3.5;3.5;"yes";1;7;5;3;3;3;4;3
"1428";"14gG";18;"female";0;5.5;4.5;4.5;4.5;"yes";12;4;7;2;3;2;3;4
"2474";"16gC";16;"female";1;5;2.5;2.5;2.5;"yes";4;7;10;2;3;3;2;4
"1232";"16gE";16;"male";0;5.5;2.5;2.5;2.5;"yes";4;1;10;4;4;3;4;4
"2728";"16gB";15;"female";0;5;5.5;5.5;5.5;"yes";7;3;8;3;2;3;4;3
"2744";"16gB";16;"female";0;5;5;5;5;"yes";6;4;10;3;2;3;4;4
"2520";"16gG";16;"female";1;4.5;4.5;4.5;4.5;"yes";3;8;5;2;4;2;4;4
"2546";"16gG";16;"female";0;5;4.5;4.5;4.5;"yes";1;4;1;3;3;3;3;4
"1926";"16gF";16;"female";0;5.5;4.5;4.5;4.5;"no";3;1;3;1;3;3;3;4
"1872";"15gC";16;"male";0;4.5;5;5;5;"yes";2;2;2;1;2;2;4;3
"1874";"15gG";17;"male";0;5;5.5;5.5;5.5;"yes";4;5;7;5;4;4;4;4
"1685";"16gG";18;"male";0;4.5;4.5;4.5;4.5;"yes";3;1;3;1;3;1;1;4
"1966";"15gG";17;"male";0;4;3.5;3.5;3.5;"yes";4;4;8;3;4;3;4;4
"2218";"15gB";17;"male";0;5;6;6;6;"yes";27;3;5;3;3;3;4;4
"1362";"15gG";16;"female";0;5.5;5;5;5;"yes";5;2;7;4;3;3;4;4
"1472";"16gC";18;"female";1;5;2;2;2;"yes";2;8;6;5;2;4;3;3
"1699";"15gF";17;"female";0;5;4;4;4;"yes";2;4;8;3;3;2;4;2
"1358";"15gF";18;"male";0;4.5;6;6;6;"yes";3;6;3;6;4;3;4;4
"1914";"15gF";17;"female";0;4;3.5;3.5;3.5;"yes";1;10;3;1;3;3;3;3
"1938";"15gF";16;"female";0;4.5;5;5;5;"yes";10;1;9;3;NA;3;4;4
"1340";"15gC";17;"female";0;5;4.5;4.5;4.5;"yes";2;8;4;4;3;3;4;4
"2018";"15gD";18;"female";0;4.5;4.5;4.5;4.5;"yes";5;1;5;4;2;3;3;3
"1384";"15gE";NA;NA;NA;4.5;5.5;5.5;5.5;"yes";10;8;8;1;NA;NA;NA;NA
"1432";"14gF";18;"female";0;4.5;4;4;4;"yes";4;1;7;4;3;2;4;4
"1647";"15gA";17;"male";0;3.5;5;5;5;"no";0;1;3;6;4;3;4;3
"1597";"14gG";17;"female";1;4.5;4;4;4;"no";6;1;6;2;4;3;4;4
"1545";"14gG";19;"female";0;6;2.5;2.5;2.5;"yes";1;4;10;2;4;4;4;3
"1621";"14gG";18;"male";1;4.5;6;6;6;"yes";6;5;4;5;4;2;2;4
"1595";"14gB";17;"female";0;5;4.5;4.5;4.5;"yes";2;4;6;4;3;2;4;4
"1593";"14gF";18;"male";1;4.5;5.5;5.5;5.5;"yes";1;1;3;3;3;3;4;4
"1639";"14gF";18;"female";1;5;5.5;5.5;5.5;"yes";4;8;10;5;3;3;4;4
